family,Genus,species,subspecies,Sexual_dimorphism,Sexual_Dimorph_type,Location,Direction,Natal_coat,Natal_Coat_Type,NC_description,Sexual_dichromatism,Sexual_dichromatism_type,Where,Darker,SDC_description,Size_Dimorphism
callitrichidae,callimico,goeldii,NA,No,NA,NA,NA,No,no,"no. treves 15,16, infants entirely brownish-black hill",No,NA,NA,NA,NA,0
callitrichidae,mico,argentata,NA,No,NA,NA,NA,No,NA,no,No,NA,NA,NA,NA,0
callitrichidae,callithrix,aurita,NA,No,NA,NA,NA,No,NA,NA,No,NA,NA,NA,rowe cite 600,0
callitrichidae,callithrix,flaviceps,NA,No,NA,NA,NA,No,NA,"maybe, hill is confusing",No,NA,NA,NA,NA,0
callitrichidae,callithrix,geoffroyi,NA,No,NA,NA,NA,No,no,"might be lighter coloration, rowe 509, no, treves 17",No,NA,NA,NA,NA,1
callitrichidae,mico,humeralifer,NA,No,NA,NA,NA,No,NA,NA,No,NA,NA,NA,NA,0
callitrichidae,callithrix,jacchus,NA,No,NA,NA,NA,No,no,"infants have a darker face and no ear tufts rowe 351, no, treves 18,19, tufts are blackish in juveniles, grayish in subadults hersh",No,NA,NA,NA,NA,0
callitrichidae,callithrix,kuhlii,NA,No,NA,NA,NA,No,NA,NA,No,NA,NA,NA,NA,0
callitrichidae,mico,mauesi,NA,No,NA,NA,NA,No,NA,NA,No,NA,NA,NA,NA,1
callitrichidae,mico,nigriceps,NA,No,NA,NA,NA,No,NA,NA,No,NA,NA,NA,NA,0
callitrichidae,callithrix,penicillata,NA,No,NA,NA,NA,Yes,incon,"no ear tufts, facial hair color doesnt fully match adults darker than adults rowe 351, no (kuhls) treves 7, other subspecies (maybe c.p.penicillata) incon to both treves 20",No,NA,NA,NA,NA,1
callitrichidae,leontopithecus,caissara,NA,No,NA,NA,NA,No,NA,NA,No,NA,NA,NA,NA,0
callitrichidae,leontopithecus,chrysomelas,NA,No,NA,NA,NA,No,NA,NA,No,NA,NA,NA,NA,1
callitrichidae,leontopithecus,chrysopygus,NA,No,NA,NA,NA,No,NA,"no, treves 17, 20",No,NA,NA,NA,NA,0
callitrichidae,leontopithecus,rosalia,NA,No,NA,NA,NA,Yes,incon,"l.r.rosalia incon to both treves 20, paler than adults, hair “lustrous” yellow at birth",No,NA,NA,NA,NA,0
callitrichidae,saguinus,bicolor,NA,No,NA,NA,NA,No,no,"s.b.bicolor no treves 17,20, face and crown anterior to ears covered in short white hairs",Yes,Partial,Tail,F,black on tail may go further in females,0
callitrichidae,leontocebus,fuscicollis,NA,No,NA,NA,NA,No,no,"no treves 20, maybe more distinct yellowish forehead, red-brown mantle on other parts of body hill",No,NA,NA,NA,NA,1
callitrichidae,saguinus,geoffroyi,NA,No,NA,NA,NA,No,NA,NA,No,NA,NA,NA,NA,0
callitrichidae,saguinus,imperator,subgriscens,Yes,"mustaches, rowe 226, miller",Head,M,Yes,incon,"s.i.subgriscens no treves 7, other subspecies incon to both treves 20, more brownish on the crown, color of underparts lighter, shorter mustache",Yes,Partial,Body,NA,more grey on the dorsal side,0
callitrichidae,saguinus,inustus,NA,No,NA,NA,NA,No,NA,NA,No,NA,NA,NA,NA,1
callitrichidae,saguinus,labiatus,NA,No,NA,NA,NA,No,NA,NA,No,NA,NA,NA,NA,0
callitrichidae,saguinus,leucopus,NA,No,NA,NA,NA,No,NA,NA,No,NA,NA,NA,"hill mentions two opposing views on dichromatism, females may have frosted silvery-white tipped hair on dorsal surface",0
callitrichidae,saguinus,midas,NA,No,NA,NA,NA,Yes,incon,"infants have pale fur on their face (transverse frontal band and patch on each cheek) that turns black with age, more conspicuous buff fleckings on the back rowe 198, maybe incon to both treves 20,26",No,NA,NA,NA,NA,1
callitrichidae,saguinus,mystax,NA,No,NA,NA,NA,No,NA,NA,No,NA,NA,NA,females have white hair around the genitals hill,1
callitrichidae,leontocebus,nigricollis,NA,No,NA,NA,NA,No,no,"no treves 20, may have slightly longer white hairs at corner of the mouth hill",No,NA,NA,NA,rowe 509,0
callitrichidae,saguinus,oedipus,NA,No,NA,NA,NA,No,no,"no treves 20, hill thinks that the headdress might not be developed in infants, young have short white hairs on “crest” emmons",No,NA,NA,NA,NA,0
callitrichidae,leontocebus,tripartitus,NA,No,NA,NA,NA,No,NA,NA,No,NA,NA,NA,NA,0
cebidae,alouatta,belzebul,NA,No,NA,NA,NA,No,NA,NA,Yes,Partial,Body,M,"extension of black areas in males seem to increase with age hill, females may have different coloration than males, but it varies a lot by individual and subspecies",1
cebidae,alouatta,caraya,NA,Yes,males beard is larger grueter 2015,Head,M,Yes,Con to dad,"infants same color as female until males change at 2.5 yrs (males go thru the female color) neville rowe 615, conspicuous contrast to father, dorsal first part to change treves 1-4, malinow,",Yes,Complete,NA,M,"M: black. F: golden light to dark yellow rowe 615, grueter 2015",1
cebidae,alouatta,guariba,NA,Yes,male seems to have a slight beard grueter 2015,Head,M,Yes,incon,"possible inconspicuous contrast to mother and incon to father treves 4, clamitans: general color like adult female but lighter on the back, hands and feet black in male, juvenile female is yellowish olive with rufescence on head and beard hill",Yes,Complete,NA,M,"F: paler than males, variation depending on location emmons. M: brown, dark red, or black with gold or yellow beard, and brown to orange-brown underparts, grueter 2015",1
cebidae,alouatta,palliata,palliata,Yes,"F: less of a beard and flank hairs are longer in palliata, aeqatorialis subspecies","Head, Flank",F,Yes,incon,"inconspicuous contrast with mother and father treves 4,5 (contra), subadult males look like females emmons, infants silver to golden brown until 12 weeks glander",No,NA,NA,NA,NA,1
cebidae,alouatta,pigra,NA,No,NA,NA,NA,Yes,incon,"infants are brown when born rowe 198, incon with mother (and father) treves 6 (horwich),4 (contra), upper back, head change first horwich, hill says no",No,NA,NA,NA,NA,1
cebidae,alouatta,sara,NA,No,NA,NA,NA,Yes,incon,"incon to mother and father treves 7, nothing explicit in hill or emmons but it wasnt very well studied I think",No,NA,NA,NA,NA,0
cebidae,alouatta,seniculus,macconnelli,Yes,long blackish beard rowe 198,Head,M,No,no,"maybe incon to mother and father treves 4, somewhat browner in shade than adult hill",Yes,Partial,Head,M,"blackish beard rowe 198, longish black beard grueter 2015, females may be less intensely colored (stramineus), less yellow (amazonica), differ considerably (puruensis) hill",1
cebidae,aotus,nigriceps,NA,No,NA,NA,NA,No,NA,NA,No,NA,NA,NA,NA,1
cebidae,aotus,trivirgatus,NA,No,NA,NA,NA,No,NA,"no. treves 8-10, juveniles may be lacking an interscapular tuft hersh",No,NA,NA,NA,NA,1
cebidae,ateles,belzebuth,NA,No,NA,NA,NA,No,no,neonates have a reddish face and dark fur rowe 461,No,NA,NA,NA,NA,0
cebidae,ateles,chamek,NA,No,NA,NA,NA,No,no,"whitish skin around the eyes, pink feet, sparse fur that appears to be gray rowe 850, symington",No,NA,NA,NA,NA,0
cebidae,ateles,fusciceps,NA,No,"one female had short hair, may be individual variation hill",NA,NA,No,no,"infants have a pink face and pink ears rowe 850, not robustus treves 11",No,NA,NA,NA,NA,0
cebidae,ateles,geoffroyi,NA,No,NA,NA,NA,Yes,incon,"infants are born black, color lightens depending on subspecies rowe 850, a.g.geoffroyi con to mother and father changes head and limbs first treves 12, 13, other subspecies incon to mother and father treves 4",No,Partial,NA,NA,"depends on subspecies, may be individual variation hill",0
cebidae,ateles,marginatus,NA,No,NA,NA,NA,Yes,incon,"face is very pale, gets darker with age, lighter pelage gets darker in the lateral surfaces of the limbs and dorsal aspect of the tail hill",No,NA,NA,NA,NA,0
cebidae,ateles,paniscus,paniscus,No,NA,NA,NA,Yes,incon,"dark pigmentation around the eyes and muzzle rowe 850, might be incon to both treves 4, youth have black faces that change to red with age, may have brown hair when it is younger hill",No,NA,NA,NA,NA,0
cebidae,brachyteles,arachnoides,NA,No,NA,NA,NA,Yes,incon,"might be incon to both treves 4,14, dark brown pelage face black hill",Yes,Partial,Body,F,Females more greyish-brown less yellow hill,1
cebidae,cacajao,calvus,NA,No,NA,NA,NA,No,no,"infants face is gray not red, rowe 238. red uacaris (c.c. rubicundus) develops gray scalp hair from 3-12 months until subadult stage (36mo) rowe 238 fontaine, infants are paler hill",No,NA,NA,NA,NA,1
cebidae,cacajao,melanocephalus,NA,No,NA,NA,NA,No,NA,no. treves 10,No,NA,NA,NA,NA,0
cebidae,callicebus,brunneus,NA,No,NA,NA,NA,No,NA,NA,No,NA,NA,NA,NA,0
cebidae,callicebus,caligatus,NA,No,NA,NA,NA,No,NA,NA,No,NA,NA,NA,NA,0
cebidae,callicebus,cinerascens,NA,No,NA,NA,NA,No,NA,NA,No,NA,NA,NA,NA,0
cebidae,callicebus,cupreus,NA,No,NA,NA,NA,No,NA,"c.c.ustofuscus infant male may be more black, but could also be individual variation hill",No,NA,NA,NA,NA,0
cebidae,callicebus,donacophilus,NA,No,NA,NA,NA,No,NA,NA,No,Partial,NA,NA,"maybe, picture has two different tail colors, rowe 357, may be c.gigot which has some sexual dimorphism",0
cebidae,callicebus,dubius,NA,No,NA,NA,NA,No,NA,NA,No,NA,NA,NA,NA,0
cebidae,callicebus,hoffmannsi,NA,No,NA,NA,NA,No,NA,"underparts paler, maybe hill",No,NA,NA,NA,"hands and feet paler, underparts a little richer yellow hill",0
cebidae,callicebus,moloch,cupreus,No,NA,NA,NA,No,NA,no. treves 10,No,NA,NA,NA,NA,0
cebidae,callicebus,personatus,nigrifrons,No,NA,NA,NA,Yes,incon,"incon to both treves 10, c.p.n much paler above and below",Yes,Partial,Multiple,F,"c.p.p female pelage washed with whitish-yellow, tail more rufous, forehead between ears black, c.p.n female more uniformly dusky ochraceous tail, c.p.m female forehead more reddish, crown yellowish-grey upper parts sooty grey with reddish tinge, hands and feet blackish-brown tail reddish-brown",0
cebidae,callicebus,torquatus,NA,No,NA,NA,NA,No,NA,NA,No,NA,NA,NA,NA,1
cebidae,cebus,albifrons,NA,Yes,"frontal tuft of longer hairs from the supraorbital region frequently present in females, never in males",Head,F,No,no,"maybe rowe 251, 198, no, treves 10, juveniles usually paler",Yes,Partial,Multiple,Varies,"rowe 198, females may have whitish or brownish frontal tuft, brown untufted forehead, tail may be frosted in males, not females, colors different across the body, varies by subspecies",1
cebidae,sapajus,apella,NA,No,NA,NA,NA,Yes,incon,"c.a.cay no (treves 10), c.a.jurnanus incon to father (lacking rufous tinge on dorsum similar to females), c.a.nigritus incon to both (more brownish), tufts not developed in juveniles in some subspecies",Yes,Partial,NA,NA,NA,1
cebidae,cebus,capucinus,NA,Yes,"frontal tuft in some females of one subspecies (imitator), same subspecies female pelage longer and more woolly","Head,Body",F,No,no,"infants born with a gray face and ears, look like adults by 3 months, rowe 251, no treves 10,22",Yes,Partial,Multiple,M,"tufts in female imitator are brownish, females may be paler",1
cebidae,cebus,olivaceus,NA,No,NA,NA,NA,No,no,"no treves 10, might just be individual variation",No,NA,NA,NA,NA,1
cebidae,chiropotes,albinasus,NA,Yes,tufts on crown and beard much larger in males emmons,Head,M,No,no,"no treves 10, beard and tufts undeveloped, less white hairs on the nose hill",No,NA,NA,NA,NA,1
cebidae,chiropotes,chiropotes,NA,No,NA,NA,NA,Yes,incon,"incon to both treves 10, general color more yellowish-brown than in males",No,NA,NA,NA,NA,0
cebidae,chiropotes,satanas,NA,Yes,tufts on crown and beard much larger in males emmons,Head,M,Yes,incon,"BM2008, incon to both treves 10, less dark, beard and tufts underdeveloped, nose unpigmented hill",Yes,Partial,Cape,M,females may have a more distinct brownish wash on their shoulders and upper backs hill,0
cebidae,oreonax,flavicauda,NA,Yes,"males have a long yellow pubic hair tuft, females have two short pubic hair tufts miller 1931, grueter 2015, emmons",Pubis,Both,No,NA,NA,No,NA,NA,NA,NA,0
cebidae,lagothrix,lagotricha,NA,Yes,"males have long, stiff hair around the scrotum, elongated hairs in a tuft on the chest, pubic tuft a little different between sexes hill",Pubis,Both,Yes,incon,"infants are straw colored emmons, natal coat is lighter rowe 684, l.l. poeppigii no contrast but there is a natal coat treves 10,23 dorsal changes first, uniformly grey hill",No,NA,NA,NA,NA,0
cebidae,pithecia,aequatorialis,NA,No,NA,NA,NA,No,NA,NA,Yes,Partial,Head,F,females may have a distinctly darker cheek and crown than males emmons,0
cebidae,pithecia,albicans,NA,No,NA,NA,NA,Yes,incon,"neonates have a dark brown coat and a naked tail rowe 416 (cant find this article), hood less erect in juveniles hill",No,NA,NA,NA,NA,0
cebidae,pithecia,irrorata,NA,No,NA,NA,NA,No,NA,NA,No,NA,NA,NA,NA,1
cebidae,pithecia,monachus,NA,No,NA,NA,NA,Yes,incon,"more black emmons, hood not as developed hill",Yes,Partial,Head,F,"M: buffy crown hairs rowe 87 buchanan, grueter 2015, underparts somewhat lighter in milleri subspecies hill",1
cebidae,pithecia,pithecia,"chrysocephala, pithecia",Yes,hair length around the head differs between the sexes hill,Head,M,Yes,Con to dad,"infants are the same color as the mother, males start changing at 2 months rowe, in p.p.chrysocephala sexual dimorphism occurs in neonates treves 10, p.p.pithecia incon to both treves 12,25",Yes,Complete,NA,M,"M: black with a white face mask and black nose. F: agouti brown with white stripes along the sides of the nose rowe 196, males that do not change color from natal coat are expelled from the group (PH2020) grueter 2015, hill",1
cebidae,saimiri,boliviensis,NA,No,NA,NA,NA,No,NA,NA,Yes,Partial,Head,F,"M: gray, F: black arches are differentiated, subspecies vary",1
cebidae,saimiri,oerstedii,NA,No,NA,NA,NA,No,NA,no treves 10,No,NA,NA,NA,NA,1
cebidae,saimiri,sciureus,NA,No,NA,NA,NA,No,NA,"no treves 10,27",No,NA,NA,NA,NA,1
cebidae,saimiri,ustus,NA,No,NA,NA,NA,No,NA,NA,Yes,Partial,Head,F,"females have a blackish temporal band, males have a buffy to agouti preauricular patch hersh",1
cebidae,saimiri,vanzolinii,NA,No,NA,NA,NA,No,NA,NA,No,NA,NA,NA,NA,1
cercopithecidae,allenopithecus,nigroviridis,NA,No,NA,NA,NA,Yes,incon,"no treves 36, juvenile is paler with no ear tufts, neonate has a more yellowish-brown cast hill",No,NA,NA,NA,NA,1
cercopithecidae,cercocebus,agilis,NA,No,NA,NA,NA,Yes,incon,"maybe incon to both treves 12,28, lighter in color hill",No,NA,NA,NA,NA,1
cercopithecidae,cercocebus,galeritus,NA,Yes,F: less annulations confined to lumbar region hill,Body,F,Yes,incon,c.g.chrysogaster incon to both treves 29,Yes,Partial,Cape,M,F: paler than males especially on nape and shoulders hill,1
cercopithecidae,cercocebus,torquatus,torquatus,No,NA,NA,NA,Yes,incon,"c.t.torquatus maybe incon to both treves 7,28, maybe darker “sombrely” no cap for first few months hill",No,NA,NA,NA,NA,1
cercopithecidae,cercocebus,atys,atys,No,NA,NA,NA,Yes,incon,"c.t.atys no treves 15,28, more likely to have yellow or red on limbs hill",No,NA,NA,NA,NA,0
cercopithecidae,cercopithecus,ascanius,NA,No,NA,NA,NA,Yes,incon,"c.a.schmidtii incon to both treves 31-33, infants are uniformly dark grey, tail has no reddish tinge hill",No,NA,NA,NA,NA,1
cercopithecidae,cercopithecus,campbelli,NA,No,NA,NA,NA,Yes,incon,"no treves 31, slightly different from adults in brightness and band size hill",No,NA,NA,NA,NA,1
cercopithecidae,cercopithecus,cephus,NA,No,NA,NA,NA,Yes,incon,no hair on the nose hill,No,NA,NA,NA,NA,1
cercopithecidae,cercopithecus,diana,NA,No,NA,NA,NA,Yes,incon,"maybe incon to both treves 13,31, charcoal grey or brownish yellow hill",No,NA,NA,NA,NA,1
cercopithecidae,cercopithecus,dryas,NA,No,NA,NA,NA,Yes,incon,"incon to both treves 34, more uniform coloration, no black on the limbs colyn",No,NA,NA,NA,NA,1
cercopithecidae,cercopithecus,erythrogaster,NA,No,NA,NA,NA,Yes,incon,nose patch is black in juveniles only some adults grow white hairs there hill,No,NA,NA,NA,NA,1
cercopithecidae,cercopithecus,erythrotis,NA,Yes,"M: hair on tail, scrotum and surrounding area has hair hill",Pubis,M,Yes,incon,"no ear tufts, chin and throat are pure white hill",Yes,Partial,Multiple,M,"M: hair around scrotum is bright orange-red hill, F: dark grey instead of dark green, paler throat and chest, olive grey on the limbs hill",0
cercopithecidae,cercopithecus,hamlyni,NA,No,NA,NA,NA,Yes,con to both,"neonates have a light yellowish brown coat rowe 601, con to both treves 31, uniformly golden yellow hill",Yes,Partial,NA,NA,might be because of immaturity but overall females had a slightly different pattern than males hill,1
cercopithecidae,cercopithecus,lhoesti,NA,No,NA,NA,NA,Yes,incon,"incon to both treves 31,32, infants are uniformly brown kingdon, hill",Yes,Partial,Pubis,F,males have a white perineal patch rowe 601,1
cercopithecidae,cercopithecus,mitis,NA,Yes,F: c.m.boutourlinii less annulation of hairs on head and back hill,"Head,Body",F,Yes,incon,"c.m.boutourlinii: incon to both (grey back, no diadem) treves 31, c.m.mitis: no treves 31, c.m.opisthostictus: incon to both (paler but the crown is wholly black) treves 31, c.m.stuhlmanni: incon to both (uniformly black hill) treves 13, 33 contra 31",Yes,Partial,NA,NA,slightly different color values between sexes in c.m.schoutedeni c.m.opisthostictus hill,1
cercopithecidae,cercopithecus,mona,NA,No,NA,NA,NA,No,NA,NA,No,NA,NA,NA,NA,1
cercopithecidae,cercopithecus,neglectus,NA,No,NA,NA,NA,Yes,incon,"light yellowish brown coat rowe 509, incon to both treves 18,34, infants are completely pale colyn,  infants are generally uniform brown or yellowish brown hill",Yes,Partial,Pubis,M,"perineum is brownish red in females hill, kingdon",1
cercopithecidae,cercopithecus,nictitans,NA,Yes,females have black hairs in their pubertal region hill,Pubis,F,Yes,incon,"maybe incon to both treves 13,31, less white on the face, less defined patches, more black on the back hill",No,NA,NA,NA,NA,1
cercopithecidae,cercopithecus,petaurista,NA,No,NA,NA,NA,No,NA,NA,No,NA,NA,NA,NA,1
cercopithecidae,cercopithecus,pogonias,NA,No,NA,NA,NA,No,NA,c.p.grayi no treves 35,Yes,Partial,Body,M,F: nigripes under parts paler in color,1
cercopithecidae,cercopithecus,preussi,NA,Yes,females have a black tuft of pubertal hair,Pubis,F,No,NA,NA,Yes,Partial,Pubis,F,females have a black tuft of pubertal hair,0
cercopithecidae,cercopithecus,sclateri,NA,No,NA,NA,NA,No,NA,NA,No,NA,NA,NA,NA,1
cercopithecidae,cercopithecus,solatus,NA,No,NA,NA,NA,No,NA,NA,No,NA,NA,NA,NA,1
cercopithecidae,chlorocebus,aethiops,NA,No,NA,NA,NA,Yes,con to both,"primate palette, c.a.pygerythrus incon or con to both treves 30 (dark in color until 4 or 5 months gartland), c.a.sabaeus con to both treves 31, c.a.tantalus con to both (dark grey almost black hill), forehead first to change treves 31, c.a.hilgerti lacking red tuft on tail, hand and feet grey hill",No,Partial,NA,NA,c.a.zavattarii F: more reddish yellow than male hill,1
cercopithecidae,colobus,angolensis,NA,Yes,tail not tufted in females grueter 2015,Tail,F,Yes,con to both,"infants born white and change to gray and then black in the first six months groves, con to both treves 40",Yes,Partial,Pubis,F,"M: broad, oval white circumgenital mark F: narrow white perineal stripe groves",1
cercopithecidae,colobus,guereza,NA,No,NA,NA,NA,Yes,con to both,"born white then turns black by age 1 rowe 80, 602, c.g.kikuyensis con to both treves 21,36,40, in depth table in oates 1977",Yes,Partial,Pubis,F,M: an unbroken circle of white hair in the perineal region F: circle is broken into two patches oates 1977,1
cercopithecidae,colobus,polykomos,NA,No,NA,NA,NA,Yes,con to both,"white fur and pink skin oates, c.p.polykomos con to both treves 17,40-42, cant find treves 42, follows general black and white colobus pattern",No,NA,NA,NA,NA,1
cercopithecidae,colobus,satanas,NA,No,NA,NA,NA,Yes,incon,"infant coat is brown rowe 635, incon to both treves 40, oates 1994",No,NA,NA,NA,NA,1
cercopithecidae,colobus,vellerosus,NA,No,NA,NA,NA,Yes,con to both,"con to both treves 40, white coat oates",No,NA,NA,NA,NA,1
cercopithecidae,erythrocebus,patas,NA,No,NA,NA,NA,Yes,con to both,"infants are black until 3 months old rowe 346, incon or con to both treves 18, 36-38, palmer",Yes,Partial,Head,M,during pregnancy the facial hair of females turns white and then reverts back palmer,1
cercopithecidae,lophocebus,albigena,NA,No,NA,NA,NA,Yes,incon,"l.a.johnstoni no treves 28,33,43, in hill this subspecies was uniformly black and got more brown as it aged, infant is darker in zenkeri subspecies, overall the infants are darker with less color variation",Yes,Partial,Multiple,M,"F: paler around ears, hind-neck, and mantle, fewer white rings on mantle hairs, underparts reddish black hill",1
cercopithecidae,lophocebus,aterrimus,NA,No,NA,NA,NA,No,NA,no treves 28,No,NA,NA,NA,NA,1
cercopithecidae,macaca,arctoides,NA,Yes,"males have balding hill (describes the studies by uno), glucksmann, females have shorter dorsal hair fooden","Head,Body",Both,Yes,con to both,"neonates are creamy white rowe 650, con to both treves 44, lumbrosacral region turns brown by 1 year fooden, hill",Yes,Partial,Body,M,females may be paler than males hill,1
cercopithecidae,macaca,assamensis,NA,Yes,may be a short square-cut beard in females but the side whiskers are not as full hill,Head,F,Yes,incon,"skin turns red in adults rowe 509, incon to both treves 28, slightly different composition of yellow-reddish-brown to infants and juveniles versus adults hill",No,NA,NA,NA,NA,1
cercopithecidae,macaca,cyclopis,NA,No,NA,NA,NA,Yes,incon,"incon to both treves 28, upper part of newborns slate colored, more golden, different shades of grey, line of dark hairs on forehead hill",Yes,Partial,Body,M,F: dorsal hair more yellow hill,1
cercopithecidae,macaca,fascicularis,NA,Yes,M: cheek whiskers and mustache (especially in older males hill). F: beard (long beard around the chin roonwal) rowe 210,Head,Both,Yes,incon,"born black rowe 210, born black become a mix of brown and grey wl2019, incon to both treves 46, crockett, hill, newborns are sparsely haired have a dark cap and a spinal streak roonwal",Yes,Partial,Head,F,"slight color differences in the facial hair, cheek hair is white in males",1
cercopithecidae,macaca,fuscata,NA,No,NA,NA,NA,Yes,incon,"might be incon to both treves 19,28,33,35, neonates with dark brown, almost black pelage hill",Yes,Partial,Body,M,females may be paler hill,1
cercopithecidae,macaca,hecki,NA,Yes,"F: less prominent crest on the crown fooden, hill",Head,M,Yes,incon,"no treves 28,47, arms and legs of juveniles darker fooden, hill",Yes,Partial,Head,M,F: more likely to grey with age same pattern as m.maura hill,0
cercopithecidae,macaca,maura,NA,No,NA,NA,NA,Yes,incon,"might be incon to both treves 28,47, juveniles might be slightly paler but infants are black with grey faces fooden, hill",Yes,Partial,Multiple,M,"females may be paler, greying occurs differently F: crown/nape, upper back, arms M: arms, back, legs fooden",1
cercopithecidae,macaca,mulatta,NA,Yes,shorter hair in females,All,F,Yes,incon,"less red in the face and genital region rowe 210, incon to both treves 28,46 roonwal, infant coated dorsally with dark brown, almost black, unbanded hairs hill",Yes,Partial,Multiple,M,"F: greener crown and forequarters, arms paler grey, rump and loins brighter hill",1
cercopithecidae,macaca,nemestrina,NA,Yes,subspecies leonina: long shoulder hairs in male may be a mane hill,Mane,M,Yes,incon,"incon to both treves 28,45, infants born black crockett, infants are black but juveniles lack darker elements along the spine and crown hill",No,NA,NA,NA,NA,1
cercopithecidae,macaca,nigra,NA,No,NA,NA,NA,Yes,incon,"multiple subspecies no treves 17,26 and 7,39,41,47, infants somewhat paler than adults and lack the crest on the crown fooden, hill",Yes,Partial,Body,M,females somewhat paler fooden,1
cercopithecidae,macaca,nigrescens,NA,No,NA,NA,NA,Yes,incon,"maybe incon to both treves 28,47, paler than adults without tuft hill, darkens with age fooden",No,NA,NA,NA,NA,0
cercopithecidae,macaca,ochreata,NA,No,NA,NA,NA,Yes,incon,"infants are brown and slowly change to black fooden. maybe incon to both hill, fooden",No,NA,NA,NA,NA,0
cercopithecidae,macaca,radiata,NA,No,NA,NA,NA,Yes,incon,"incon to both treves 28, infants are uniformly dark (almost black) hill, newborns are chocolate colored juveniles are lighter brown roonwal",Yes,Partial,Body,M,dorsal pelage tending to paler with greater predominance of yellow in females hill,1
cercopithecidae,macaca,silenus,NA,No,NA,NA,NA,Yes,incon,"neonates have brown hair and pale pink skin roonwal, hill incon to both, head changes first, infants lack mane, tail tuft, hair on chest treves 16",No,NA,NA,NA,NA,1
cercopithecidae,macaca,sinica,NA,No,NA,NA,NA,Yes,incon,"m.s.aurifrons: incon or con to both (infant born with black hair hill) treves 28, m.s.sinica incon to both treves 28, newborns are deep olive-brown with slight yellow on shoulders and lateral aspects of limbs, no bonnet hill",No,NA,NA,NA,NA,1
cercopithecidae,macaca,sylvanus,NA,Yes,males have a beard and elongated hairs around the neck hill,Head,M,No,maybe,"lighter color maybe rowe 210, maybe no, incon, or con to both treves 28,41, natal pelage black hill",No,NA,NA,NA,NA,1
