family,species,subspecies,Sexual_dimorphism,Sexual_Dimorph_type,Location,Direction,Natal_coat,Natal_Coat_Type,NC_description,Sexual_dichromatism,Sexual_dichromatism_type,Where,Darker,SDC_description,Size_Dimorphism,Simple_Natal_Coat_Type,Natal_Coat_Conspicuous,Natal_Coat_Inconspicuous,Natal_Coat_Present,Maturation_Color_Change,Maturation_Males_Only,Maturation_Females_Only,Maturation_Both,Maturation_None,Sexual_Dichromatism_Complete,Sexual_Dichromatism_Partial,Sexual_Dichromatism_Present,integrated_trait
cercopithecidae,Allenopithecus_nigroviridis,NA,0,NA,NA,NA,1,incon,"no treves 36, juvenile is paler with no ear tufts, neonate has a more yellowish-brown cast hill",0,NA,NA,NA,NA,1,inconspicuous,0,1,1,None,0,0,0,1,NA,NA,0,2
cheirogaleidae,Allocebus_trichotis,NA,0,NA,NA,NA,0,NA,NA,0,NA,NA,NA,NA,1,none,0,0,0,None,0,0,0,1,NA,NA,0,1
cebidae,Alouatta_belzebul,NA,0,NA,NA,NA,0,NA,NA,1,Partial,Body,M,"extension of black areas in males seem to increase with age hill, females may have different coloration than males, but it varies a lot by individual and subspecies",1,none,0,0,0,None,0,0,0,1,0,1,1,0
cebidae,Alouatta_caraya,NA,1,males beard is larger grueter 2015,Head,M,1,Con to dad,"infants same color as female until males change at 2.5 yrs (males go thru the female color) neville rowe 615, conspicuous contrast to father, dorsal first part to change treves 1-4, malinow,",1,Complete,NA,M,"M: black. F: golden light to dark yellow rowe 615, grueter 2015",1,conspicuous,1,0,1,Males only,1,0,0,0,1,0,1,3
cebidae,Alouatta_guariba,NA,1,male seems to have a slight beard grueter 2015,Head,M,1,incon,"possible inconspicuous contrast to mother and incon to father treves 4, clamitans: general color like adult female but lighter on the back, hands and feet black in male, juvenile female is yellowish olive with rufescence on head and beard hill",1,Complete,NA,M,"F: paler than males, variation depending on location emmons. M: brown, dark red, or black with gold or yellow beard, and brown to orange-brown underparts, grueter 2015",1,inconspicuous,0,1,1,None,0,0,0,1,1,0,1,0
cebidae,Alouatta_palliata,palliata,1,"F: less of a beard and flank hairs are longer in palliata, aeqatorialis subspecies","Head, Flank",F,1,incon,"inconspicuous contrast with mother and father treves 4,5 (contra), subadult males look like females emmons, infants silver to golden brown until 12 weeks glander",0,NA,NA,NA,NA,1,inconspicuous,0,1,1,None,0,0,0,1,NA,NA,0,2
cebidae,Alouatta_pigra,NA,0,NA,NA,NA,1,incon,"infants are brown when born rowe 198, incon with mother (and father) treves 6 (horwich),4 (contra), upper back, head change first horwich, hill says no",0,NA,NA,NA,NA,1,inconspicuous,0,1,1,None,0,0,0,1,NA,NA,0,2
cebidae,Alouatta_sara,NA,0,NA,NA,NA,1,incon,"incon to mother and father treves 7, nothing explicit in hill or emmons but it wasnt very well studied I think",0,NA,NA,NA,NA,0,inconspicuous,0,1,1,None,0,0,0,1,NA,NA,0,2
cebidae,Alouatta_seniculus,macconnelli,1,long blackish beard rowe 198,Head,M,0,no,"maybe incon to mother and father treves 4, somewhat browner in shade than adult hill",1,Partial,Head,M,"blackish beard rowe 198, longish black beard grueter 2015, females may be less intensely colored (stramineus), less yellow (amazonica), differ considerably (puruensis) hill",1,none,0,0,0,None,0,0,0,1,0,1,1,0
cebidae,Aotus_nigriceps,NA,0,NA,NA,NA,0,NA,NA,0,NA,NA,NA,NA,1,none,0,0,0,None,0,0,0,1,NA,NA,0,1
cebidae,Aotus_trivirgatus,NA,0,NA,NA,NA,0,NA,"no. treves 8-10, juveniles may be lacking an interscapular tuft hersh",0,NA,NA,NA,NA,1,none,0,0,0,None,0,0,0,1,NA,NA,0,1
loridae,Arctocebus_aureus,NA,0,NA,NA,NA,1,incon,"darker coats rowe, hill 1963 incon to both",0,NA,NA,NA,NA,0,inconspicuous,0,1,1,None,0,0,0,1,NA,NA,0,2
loridae,Arctocebus_calabarensis,NA,0,NA,NA,NA,1,incon,"contrasting reports in treves from hill 1953, maybe incon to both treves 67, im gonna go with yes, darker coats that lighten with age",0,NA,NA,NA,NA,0,inconspicuous,0,1,1,None,0,0,0,1,NA,NA,0,2
cebidae,Ateles_belzebuth,NA,0,NA,NA,NA,0,no,neonates have a reddish face and dark fur rowe 461,0,NA,NA,NA,NA,0,none,0,0,0,None,0,0,0,1,NA,NA,0,1
cebidae,Ateles_chamek,NA,0,NA,NA,NA,0,no,"whitish skin around the eyes, pink feet, sparse fur that appears to be gray rowe 850, symington",0,NA,NA,NA,NA,0,none,0,0,0,None,0,0,0,1,NA,NA,0,1
cebidae,Ateles_fusciceps,NA,0,"one female had short hair, may be individual variation hill",NA,NA,0,no,"infants have a pink face and pink ears rowe 850, not robustus treves 11",0,NA,NA,NA,NA,0,none,0,0,0,None,0,0,0,1,NA,NA,0,1
cebidae,Ateles_geoffroyi,NA,0,NA,NA,NA,1,incon,"infants are born black, color lightens depending on subspecies rowe 850, a.g.geoffroyi con to mother and father changes head and limbs first treves 12, 13, other subspecies incon to mother and father treves 4",0,Partial,NA,NA,"depends on subspecies, may be individual variation hill",0,inconspicuous,0,1,1,None,0,0,0,1,0,1,1,2
cebidae,Ateles_marginatus,NA,0,NA,NA,NA,1,incon,"face is very pale, gets darker with age, lighter pelage gets darker in the lateral surfaces of the limbs and dorsal aspect of the tail hill",0,NA,NA,NA,NA,0,inconspicuous,0,1,1,None,0,0,0,1,NA,NA,0,2
cebidae,Ateles_paniscus,paniscus,0,NA,NA,NA,1,incon,"dark pigmentation around the eyes and muzzle rowe 850, might be incon to both treves 4, youth have black faces that change to red with age, may have brown hair when it is younger hill",0,NA,NA,NA,NA,0,inconspicuous,0,1,1,None,0,0,0,1,NA,NA,0,2
indridae,Avahi_laniger,NA,0,NA,NA,NA,1,incon,"rowe 580, 898, 909, incon to both treves 67, less rufous than adults, ashy-gray above, whitish below",0,NA,NA,NA,NA,1,inconspicuous,0,1,1,None,0,0,0,1,NA,NA,0,2
cebidae,Brachyteles_arachnoides,NA,0,NA,NA,NA,1,incon,"might be incon to both treves 4,14, dark brown pelage face black hill",1,Partial,Body,F,Females more greyish-brown less yellow hill,1,inconspicuous,0,1,1,None,0,0,0,1,0,1,1,0
cebidae,Cacajao_calvus,NA,0,NA,NA,NA,0,no,"infants face is gray not red, rowe 238. red uacaris (c.c. rubicundus) develops gray scalp hair from 3-12 months until subadult stage (36mo) rowe 238 fontaine, infants are paler hill",0,NA,NA,NA,NA,1,none,0,0,0,None,0,0,0,1,NA,NA,0,1
cebidae,Cacajao_melanocephalus,NA,0,NA,NA,NA,0,NA,no. treves 10,0,NA,NA,NA,NA,0,none,0,0,0,None,0,0,0,1,NA,NA,0,1
cebidae,Callicebus_brunneus,NA,0,NA,NA,NA,0,NA,NA,0,NA,NA,NA,NA,0,none,0,0,0,None,0,0,0,1,NA,NA,0,1
cebidae,Callicebus_caligatus,NA,0,NA,NA,NA,0,NA,NA,0,NA,NA,NA,NA,0,none,0,0,0,None,0,0,0,1,NA,NA,0,1
cebidae,Callicebus_cinerascens,NA,0,NA,NA,NA,0,NA,NA,0,NA,NA,NA,NA,0,none,0,0,0,None,0,0,0,1,NA,NA,0,1
cebidae,Callicebus_cupreus,NA,0,NA,NA,NA,0,NA,"c.c.ustofuscus infant male may be more black, but could also be individual variation hill",0,NA,NA,NA,NA,0,none,0,0,0,None,0,0,0,1,NA,NA,0,1
cebidae,Callicebus_donacophilus,NA,0,NA,NA,NA,0,NA,NA,0,Partial,NA,NA,"maybe, picture has two different tail colors, rowe 357, may be c.gigot which has some sexual dimorphism",0,none,0,0,0,None,0,0,0,1,0,1,1,1
cebidae,Callicebus_dubius,NA,0,NA,NA,NA,0,NA,NA,0,NA,NA,NA,NA,0,none,0,0,0,None,0,0,0,1,NA,NA,0,1
cebidae,Callicebus_hoffmannsi,NA,0,NA,NA,NA,0,NA,"underparts paler, maybe hill",0,NA,NA,NA,"hands and feet paler, underparts a little richer yellow hill",0,none,0,0,0,None,0,0,0,1,NA,NA,0,1
cebidae,Callicebus_moloch,cupreus,0,NA,NA,NA,0,NA,no. treves 10,0,NA,NA,NA,NA,0,none,0,0,0,None,0,0,0,1,NA,NA,0,1
cebidae,Callicebus_personatus,nigrifrons,0,NA,NA,NA,1,incon,"incon to both treves 10, c.p.n much paler above and below",1,Partial,Multiple,F,"c.p.p female pelage washed with whitish-yellow, tail more rufous, forehead between ears black, c.p.n female more uniformly dusky ochraceous tail, c.p.m female forehead more reddish, crown yellowish-grey upper parts sooty grey with reddish tinge, hands and feet blackish-brown tail reddish-brown",0,inconspicuous,0,1,1,None,0,0,0,1,0,1,1,0
cebidae,Callicebus_torquatus,NA,0,NA,NA,NA,0,NA,NA,0,NA,NA,NA,NA,1,none,0,0,0,None,0,0,0,1,NA,NA,0,1
callitrichidae,Callimico_goeldii,NA,0,NA,NA,NA,0,no,"no. treves 15,16, infants entirely brownish-black hill",0,NA,NA,NA,NA,0,none,0,0,0,None,0,0,0,1,NA,NA,0,1
callitrichidae,Callithrix_aurita,NA,0,NA,NA,NA,0,NA,NA,0,NA,NA,NA,rowe cite 600,0,none,0,0,0,None,0,0,0,1,NA,NA,0,1
callitrichidae,Callithrix_flaviceps,NA,0,NA,NA,NA,0,NA,"maybe, hill is confusing",0,NA,NA,NA,NA,0,none,0,0,0,None,0,0,0,1,NA,NA,0,1
callitrichidae,Callithrix_geoffroyi,NA,0,NA,NA,NA,0,no,"might be lighter coloration, rowe 509, no, treves 17",0,NA,NA,NA,NA,1,none,0,0,0,None,0,0,0,1,NA,NA,0,1
callitrichidae,Mico_humeralifer,NA,0,NA,NA,NA,0,NA,NA,0,NA,NA,NA,NA,0,none,0,0,0,None,0,0,0,1,NA,NA,0,1
callitrichidae,Callithrix_jacchus,NA,0,NA,NA,NA,0,no,"infants have a darker face and no ear tufts rowe 351, no, treves 18,19, tufts are blackish in juveniles, grayish in subadults hersh",0,NA,NA,NA,NA,0,none,0,0,0,None,0,0,0,1,NA,NA,0,1
callitrichidae,Callithrix_kuhlii,NA,0,NA,NA,NA,0,NA,NA,0,NA,NA,NA,NA,0,none,0,0,0,None,0,0,0,1,NA,NA,0,1
callitrichidae,Mico_mauesi,NA,0,NA,NA,NA,0,NA,NA,0,NA,NA,NA,NA,1,none,0,0,0,None,0,0,0,1,NA,NA,0,1
callitrichidae,Mico_nigriceps,NA,0,NA,NA,NA,0,NA,NA,0,NA,NA,NA,NA,0,none,0,0,0,None,0,0,0,1,NA,NA,0,1
callitrichidae,Callithrix_penicillata,NA,0,NA,NA,NA,1,incon,"no ear tufts, facial hair color doesnt fully match adults darker than adults rowe 351, no (kuhls) treves 7, other subspecies (maybe c.p.penicillata) incon to both treves 20",0,NA,NA,NA,NA,1,inconspicuous,0,1,1,None,0,0,0,1,NA,NA,0,2
cebidae,Cebus_albifrons,NA,1,"frontal tuft of longer hairs from the supraorbital region frequently present in females, never in males",Head,F,0,no,"maybe rowe 251, 198, no, treves 10, juveniles usually paler",1,Partial,Multiple,Varies,"rowe 198, females may have whitish or brownish frontal tuft, brown untufted forehead, tail may be frosted in males, not females, colors different across the body, varies by subspecies",1,none,0,0,0,None,0,0,0,1,0,1,1,0
cebidae,Sapajus_apella,NA,0,NA,NA,NA,1,incon,"c.a.cay no (treves 10), c.a.jurnanus incon to father (lacking rufous tinge on dorsum similar to females), c.a.nigritus incon to both (more brownish), tufts not developed in juveniles in some subspecies",1,Partial,NA,NA,NA,1,inconspicuous,0,1,1,None,0,0,0,1,0,1,1,0
cebidae,Cebus_capucinus,NA,1,"frontal tuft in some females of one subspecies (imitator), same subspecies female pelage longer and more woolly","Head,Body",F,0,no,"infants born with a gray face and ears, look like adults by 3 months, rowe 251, no treves 10,22",1,Partial,Multiple,M,"tufts in female imitator are brownish, females may be paler",1,none,0,0,0,None,0,0,0,1,0,1,1,0
cebidae,Cebus_olivaceus,NA,0,NA,NA,NA,0,no,"no treves 10, might just be individual variation",0,NA,NA,NA,NA,1,none,0,0,0,None,0,0,0,1,NA,NA,0,1
cercopithecidae,Cercocebus_agilis,NA,0,NA,NA,NA,1,incon,"maybe incon to both treves 12,28, lighter in color hill",0,NA,NA,NA,NA,1,inconspicuous,0,1,1,None,0,0,0,1,NA,NA,0,2
cercopithecidae,Cercocebus_galeritus,NA,1,F: less annulations confined to lumbar region hill,Body,F,1,incon,c.g.chrysogaster incon to both treves 29,1,Partial,Cape,M,F: paler than males especially on nape and shoulders hill,1,inconspicuous,0,1,1,None,0,0,0,1,0,1,1,0
cercopithecidae,Cercocebus_torquatus,torquatus,0,NA,NA,NA,1,incon,"c.t.torquatus maybe incon to both treves 7,28, maybe darker “sombrely” no cap for first few months hill",0,NA,NA,NA,NA,1,inconspicuous,0,1,1,None,0,0,0,1,NA,NA,0,2
cercopithecidae,Cercocebus_atys,atys,0,NA,NA,NA,1,incon,"c.t.atys no treves 15,28, more likely to have yellow or red on limbs hill",0,NA,NA,NA,NA,0,inconspicuous,0,1,1,None,0,0,0,1,NA,NA,0,2
cercopithecidae,Cercopithecus_ascanius,NA,0,NA,NA,NA,1,incon,"c.a.schmidtii incon to both treves 31-33, infants are uniformly dark grey, tail has no reddish tinge hill",0,NA,NA,NA,NA,1,inconspicuous,0,1,1,None,0,0,0,1,NA,NA,0,2
cercopithecidae,Cercopithecus_campbelli,NA,0,NA,NA,NA,1,incon,"no treves 31, slightly different from adults in brightness and band size hill",0,NA,NA,NA,NA,1,inconspicuous,0,1,1,None,0,0,0,1,NA,NA,0,2
cercopithecidae,Cercopithecus_cephus,NA,0,NA,NA,NA,1,incon,no hair on the nose hill,0,NA,NA,NA,NA,1,inconspicuous,0,1,1,None,0,0,0,1,NA,NA,0,2
cercopithecidae,Cercopithecus_diana,NA,0,NA,NA,NA,1,incon,"maybe incon to both treves 13,31, charcoal grey or brownish yellow hill",0,NA,NA,NA,NA,1,inconspicuous,0,1,1,None,0,0,0,1,NA,NA,0,2
cercopithecidae,Cercopithecus_dryas,NA,0,NA,NA,NA,1,incon,"incon to both treves 34, more uniform coloration, no black on the limbs colyn",0,NA,NA,NA,NA,1,inconspicuous,0,1,1,None,0,0,0,1,NA,NA,0,2
cercopithecidae,Cercopithecus_erythrogaster,NA,0,NA,NA,NA,1,incon,nose patch is black in juveniles only some adults grow white hairs there hill,0,NA,NA,NA,NA,1,inconspicuous,0,1,1,None,0,0,0,1,NA,NA,0,2
cercopithecidae,Cercopithecus_erythrotis,NA,1,"M: hair on tail, scrotum and surrounding area has hair hill",Pubis,M,1,incon,"no ear tufts, chin and throat are pure white hill",1,Partial,Multiple,M,"M: hair around scrotum is bright orange-red hill, F: dark grey instead of dark green, paler throat and chest, olive grey on the limbs hill",0,inconspicuous,0,1,1,None,0,0,0,1,0,1,1,0
cercopithecidae,Cercopithecus_hamlyni,NA,0,NA,NA,NA,1,con to both,"neonates have a light yellowish brown coat rowe 601, con to both treves 31, uniformly golden yellow hill",1,Partial,NA,NA,might be because of immaturity but overall females had a slightly different pattern than males hill,1,conspicuous,1,0,1,Both,0,0,1,0,0,1,1,5
cercopithecidae,Cercopithecus_lhoesti,NA,0,NA,NA,NA,1,incon,"incon to both treves 31,32, infants are uniformly brown kingdon, hill",1,Partial,Pubis,F,males have a white perineal patch rowe 601,1,inconspicuous,0,1,1,None,0,0,0,1,0,1,1,0
cercopithecidae,Cercopithecus_mitis,NA,1,F: c.m.boutourlinii less annulation of hairs on head and back hill,"Head,Body",F,1,incon,"c.m.boutourlinii: incon to both (grey back, no diadem) treves 31, c.m.mitis: no treves 31, c.m.opisthostictus: incon to both (paler but the crown is wholly black) treves 31, c.m.stuhlmanni: incon to both (uniformly black hill) treves 13, 33 contra 31",1,Partial,NA,NA,slightly different color values between sexes in c.m.schoutedeni c.m.opisthostictus hill,1,inconspicuous,0,1,1,None,0,0,0,1,0,1,1,0
cercopithecidae,Cercopithecus_mona,NA,0,NA,NA,NA,0,NA,NA,0,NA,NA,NA,NA,1,none,0,0,0,None,0,0,0,1,NA,NA,0,1
cercopithecidae,Cercopithecus_neglectus,NA,0,NA,NA,NA,1,incon,"light yellowish brown coat rowe 509, incon to both treves 18,34, infants are completely pale colyn,  infants are generally uniform brown or yellowish brown hill",1,Partial,Pubis,M,"perineum is brownish red in females hill, kingdon",1,inconspicuous,0,1,1,None,0,0,0,1,0,1,1,0
cercopithecidae,Cercopithecus_nictitans,NA,1,females have black hairs in their pubertal region hill,Pubis,F,1,incon,"maybe incon to both treves 13,31, less white on the face, less defined patches, more black on the back hill",0,NA,NA,NA,NA,1,inconspicuous,0,1,1,None,0,0,0,1,NA,NA,0,2
cercopithecidae,Cercopithecus_petaurista,NA,0,NA,NA,NA,0,NA,NA,0,NA,NA,NA,NA,1,none,0,0,0,None,0,0,0,1,NA,NA,0,1
cercopithecidae,Cercopithecus_pogonias,NA,0,NA,NA,NA,0,NA,c.p.grayi no treves 35,1,Partial,Body,M,F: nigripes under parts paler in color,1,none,0,0,0,None,0,0,0,1,0,1,1,0
cercopithecidae,Cercopithecus_preussi,NA,1,females have a black tuft of pubertal hair,Pubis,F,0,NA,NA,1,Partial,Pubis,F,females have a black tuft of pubertal hair,0,none,0,0,0,None,0,0,0,1,0,1,1,0
cercopithecidae,Cercopithecus_sclateri,NA,0,NA,NA,NA,0,NA,NA,0,NA,NA,NA,NA,1,none,0,0,0,None,0,0,0,1,NA,NA,0,1
cercopithecidae,Cercopithecus_solatus,NA,0,NA,NA,NA,0,NA,NA,0,NA,NA,NA,NA,1,none,0,0,0,None,0,0,0,1,NA,NA,0,1
cheirogaleidae,Cheirogaleus_major,NA,0,NA,NA,NA,0,maybe,"c.m.major maybe incon treves 67, young said to be mouse grey hill",0,NA,NA,NA,NA,1,none,0,0,0,None,0,0,0,1,NA,NA,0,1
cheirogaleidae,Cheirogaleus_medius,NA,0,NA,NA,NA,0,NA,NA,0,NA,NA,NA,NA,0,none,0,0,0,None,0,0,0,1,NA,NA,0,1
cebidae,Chiropotes_albinasus,NA,1,tufts on crown and beard much larger in males emmons,Head,M,0,no,"no treves 10, beard and tufts undeveloped, less white hairs on the nose hill",0,NA,NA,NA,NA,1,none,0,0,0,None,0,0,0,1,NA,NA,0,1
cebidae,Chiropotes_chiropotes,NA,0,NA,NA,NA,1,incon,"incon to both treves 10, general color more yellowish-brown than in males",0,NA,NA,NA,NA,0,inconspicuous,0,1,1,None,0,0,0,1,NA,NA,0,2
cebidae,Chiropotes_satanas,NA,1,tufts on crown and beard much larger in males emmons,Head,M,1,incon,"BM2008, incon to both treves 10, less dark, beard and tufts underdeveloped, nose unpigmented hill",1,Partial,Cape,M,females may have a more distinct brownish wash on their shoulders and upper backs hill,0,inconspicuous,0,1,1,None,0,0,0,1,0,1,1,0
cercopithecidae,Chlorocebus_aethiops,NA,0,NA,NA,NA,1,con to both,"primate palette, c.a.pygerythrus incon or con to both treves 30 (dark in color until 4 or 5 months gartland), c.a.sabaeus con to both treves 31, c.a.tantalus con to both (dark grey almost black hill), forehead first to change treves 31, c.a.hilgerti lacking red tuft on tail, hand and feet grey hill",0,Partial,NA,NA,c.a.zavattarii F: more reddish yellow than male hill,1,conspicuous,1,0,1,Both,0,0,1,0,0,1,1,2
cercopithecidae,Colobus_angolensis,NA,1,tail not tufted in females grueter 2015,Tail,F,1,con to both,"infants born white and change to gray and then black in the first six months groves, con to both treves 40",1,Partial,Pubis,F,"M: broad, oval white circumgenital mark F: narrow white perineal stripe groves",1,conspicuous,1,0,1,Both,0,0,1,0,0,1,1,5
cercopithecidae,Colobus_guereza,NA,0,NA,NA,NA,1,con to both,"born white then turns black by age 1 rowe 80, 602, c.g.kikuyensis con to both treves 21,36,40, in depth table in oates 1977",1,Partial,Pubis,F,M: an unbroken circle of white hair in the perineal region F: circle is broken into two patches oates 1977,1,conspicuous,1,0,1,Both,0,0,1,0,0,1,1,5
cercopithecidae,Colobus_polykomos,NA,0,NA,NA,NA,1,con to both,"white fur and pink skin oates, c.p.polykomos con to both treves 17,40-42, cant find treves 42, follows general black and white colobus pattern",0,NA,NA,NA,NA,1,conspicuous,1,0,1,Both,0,0,1,0,NA,NA,0,2
cercopithecidae,Colobus_satanas,NA,0,NA,NA,NA,1,incon,"infant coat is brown rowe 635, incon to both treves 40, oates 1994",0,NA,NA,NA,NA,1,inconspicuous,0,1,1,None,0,0,0,1,NA,NA,0,2
cercopithecidae,Colobus_vellerosus,NA,0,NA,NA,NA,1,con to both,"con to both treves 40, white coat oates",0,NA,NA,NA,NA,1,conspicuous,1,0,1,Both,0,0,1,0,NA,NA,0,2
daubentoniidae,Daubentonia_madagascariensis,NA,0,NA,NA,NA,0,NA,NA,0,NA,NA,NA,NA,0,none,0,0,0,None,0,0,0,1,NA,NA,0,1
cercopithecidae,Erythrocebus_patas,NA,0,NA,NA,NA,1,con to both,"infants are black until 3 months old rowe 346, incon or con to both treves 18, 36-38, palmer",1,Partial,Head,M,during pregnancy the facial hair of females turns white and then reverts back palmer,1,conspicuous,1,0,1,Both,0,0,1,0,0,1,1,5
lemuridae,Eulemur_coronatus,NA,0,NA,NA,NA,0,NA,NA,1,Partial,Head,M,"M: dark gray brown back and dark tail, v on head is orange and orange extends around the face and has black on the side. F: light gray",1,none,0,0,0,None,0,0,0,1,0,1,1,0
